time,symbol,action,quantity,price,purchase_timestamp
2025-07-31 20:35:52,ABT,BUY,1,N/A,2025-07-31 20:35:52
2025-07-31 20:35:58,ACN,BUY,1,N/A,2025-07-31 20:35:58
2025-07-31 20:36:00,ADBE,BUY,1,N/A,2025-07-31 20:36:00
2025-07-31 20:36:07,A,BUY,1,N/A,2025-07-31 20:36:07
2025-07-31 20:36:08,APD,BUY,1,N/A,2025-07-31 20:36:08
2025-07-31 20:36:14,ABNB,BUY,1,N/A,2025-07-31 20:36:14
2025-07-31 20:36:16,AKAM,BUY,1,N/A,2025-07-31 20:36:16
2025-07-31 20:36:19,ALB,BUY,1,N/A,2025-07-31 20:36:19
2025-07-31 20:36:21,ARE,BUY,1,N/A,2025-07-31 20:36:21
2025-07-31 20:36:23,ALGN,BUY,1,N/A,2025-07-31 20:36:23
2025-07-31 20:36:27,LNT,BUY,1,N/A,2025-07-31 20:36:27
2025-07-31 20:36:31,GOOGL,BUY,1,N/A,2025-07-31 20:36:31
2025-07-31 20:36:33,GOOG,BUY,1,N/A,2025-07-31 20:36:33
2025-07-31 20:36:41,AMCR,BUY,1,N/A,2025-07-31 20:36:41
2025-07-31 20:36:47,AEP,BUY,1,N/A,2025-07-31 20:36:47
2025-07-31 20:36:49,AXP,BUY,1,N/A,2025-07-31 20:36:49
2025-07-31 20:37:01,AMGN,BUY,1,N/A,2025-07-31 20:37:01
2025-07-31 20:37:06,ADI,BUY,1,N/A,2025-07-31 20:37:06
2025-07-31 20:37:10,APA,BUY,1,N/A,2025-07-31 20:37:10
2025-07-31 20:37:12,APO,BUY,1,N/A,2025-07-31 20:37:12
2025-07-31 20:37:14,AAPL,BUY,1,N/A,2025-07-31 20:37:14
2025-07-31 20:37:16,AMAT,BUY,1,N/A,2025-07-31 20:37:16
2025-07-31 20:37:23,ADM,BUY,1,N/A,2025-07-31 20:37:23
2025-07-31 20:37:31,T,BUY,1,N/A,2025-07-31 20:37:31
2025-07-31 20:37:33,ATO,BUY,1,N/A,2025-07-31 20:37:33
2025-07-31 20:37:34,ADSK,BUY,1,N/A,2025-07-31 20:37:34
2025-07-31 20:37:38,AZO,BUY,1,N/A,2025-07-31 20:37:38
2025-07-31 20:37:40,AVB,BUY,1,N/A,2025-07-31 20:37:40
2025-07-31 20:37:45,BKR,BUY,1,N/A,2025-07-31 20:37:45
2025-07-31 20:37:47,BALL,BUY,1,N/A,2025-07-31 20:37:47
2025-07-31 20:37:49,BAC,BUY,1,N/A,2025-07-31 20:37:49
2025-07-31 20:37:51,BAX,BUY,1,N/A,2025-07-31 20:37:51
2025-07-31 20:37:53,BDX,BUY,1,N/A,2025-07-31 20:37:53
2025-07-31 20:38:06,BBY,BUY,1,N/A,2025-07-31 20:38:06
2025-07-31 20:38:07,TECH,BUY,1,N/A,2025-07-31 20:38:07
2025-07-31 20:38:13,BLK,BUY,1,N/A,2025-07-31 20:38:13
2025-07-31 20:38:14,BX,BUY,1,N/A,2025-07-31 20:38:14
2025-07-31 20:38:16,XYZ,BUY,1,N/A,2025-07-31 20:38:16
2025-07-31 20:38:18,BK,BUY,1,N/A,2025-07-31 20:38:18
2025-07-31 20:38:20,BA,BUY,1,N/A,2025-07-31 20:38:20
2025-07-31 20:38:22,BKNG,BUY,1,N/A,2025-07-31 20:38:22
2025-07-31 20:38:23,BSX,BUY,1,N/A,2025-07-31 20:38:23
2025-07-31 20:38:26,BMY,BUY,1,N/A,2025-07-31 20:38:26
2025-07-31 20:38:28,AVGO,BUY,1,N/A,2025-07-31 20:38:28
2025-07-31 20:38:31,BRO,BUY,1,N/A,2025-07-31 20:38:31
2025-07-31 20:38:34,BLDR,BUY,1,N/A,2025-07-31 20:38:34
2025-07-31 20:38:36,BG,BUY,1,N/A,2025-07-31 20:38:36
2025-07-31 20:38:37,BXP,BUY,1,N/A,2025-07-31 20:38:37
2025-07-31 20:38:41,CDNS,BUY,1,N/A,2025-07-31 20:38:41
2025-07-31 20:38:43,CZR,BUY,1,N/A,2025-07-31 20:38:43
2025-07-31 20:38:46,CPT,BUY,1,N/A,2025-07-31 20:38:46
2025-07-31 20:38:48,CPB,BUY,1,N/A,2025-07-31 20:38:48
2025-07-31 20:38:50,COF,BUY,1,N/A,2025-07-31 20:38:50
2025-07-31 20:38:52,CAH,BUY,1,N/A,2025-07-31 20:38:52
2025-07-31 20:38:54,KMX,BUY,1,N/A,2025-07-31 20:38:54
2025-07-31 20:38:56,CCL,BUY,1,N/A,2025-07-31 20:38:56
2025-07-31 20:39:04,CBRE,BUY,1,N/A,2025-07-31 20:39:04
2025-07-31 20:39:06,CDW,BUY,1,N/A,2025-07-31 20:39:06
2025-07-31 20:39:08,COR,BUY,1,N/A,2025-07-31 20:39:08
2025-07-31 20:39:13,CF,BUY,1,N/A,2025-07-31 20:39:13
2025-07-31 20:39:15,CRL,BUY,1,N/A,2025-07-31 20:39:15
2025-07-31 20:39:18,SCHW,BUY,1,N/A,2025-07-31 20:39:18
2025-07-31 20:39:21,CHTR,BUY,1,N/A,2025-07-31 20:39:21
2025-07-31 20:39:23,CVX,BUY,1,N/A,2025-07-31 20:39:23
2025-07-31 20:39:25,CMG,BUY,1,N/A,2025-07-31 20:39:25
2025-07-31 20:39:29,CHD,BUY,1,N/A,2025-07-31 20:39:29
2025-07-31 20:39:31,CI,BUY,1,N/A,2025-07-31 20:39:31
2025-07-31 20:39:32,CINF,BUY,1,N/A,2025-07-31 20:39:32
2025-07-31 20:39:36,CSCO,BUY,1,N/A,2025-07-31 20:39:36
2025-07-31 20:39:38,C,BUY,1,N/A,2025-07-31 20:39:38
2025-07-31 20:39:40,CFG,BUY,1,N/A,2025-07-31 20:39:40
2025-07-31 20:39:42,CLX,BUY,1,N/A,2025-07-31 20:39:42
2025-07-31 20:39:49,KO,BUY,1,N/A,2025-07-31 20:39:49
2025-07-31 20:39:51,CTSH,BUY,1,N/A,2025-07-31 20:39:51
2025-07-31 20:39:54,CL,BUY,1,N/A,2025-07-31 20:39:54
2025-07-31 20:40:00,CAG,BUY,1,N/A,2025-07-31 20:40:00
2025-07-31 20:40:02,COP,BUY,1,N/A,2025-07-31 20:40:02
2025-07-31 20:40:05,STZ,BUY,1,N/A,2025-07-31 20:40:05
2025-07-31 20:40:09,COO,BUY,1,N/A,2025-07-31 20:40:09
2025-07-31 20:40:11,CPRT,BUY,1,N/A,2025-07-31 20:40:11
2025-07-31 20:40:17,CPAY,BUY,1,N/A,2025-07-31 20:40:17
2025-07-31 20:40:26,CRWD,BUY,1,N/A,2025-07-31 20:40:26
2025-07-31 20:40:28,CCI,BUY,1,N/A,2025-07-31 20:40:28
2025-07-31 20:40:36,DHR,BUY,1,N/A,2025-07-31 20:40:36
2025-07-31 20:40:38,DRI,BUY,1,N/A,2025-07-31 20:40:38
2025-07-31 20:40:40,DDOG,BUY,1,N/A,2025-07-31 20:40:40
2025-07-31 20:40:41,DVA,BUY,1,N/A,2025-07-31 20:40:41
2025-07-31 20:40:44,DAY,BUY,1,N/A,2025-07-31 20:40:44
2025-07-31 20:40:46,DECK,BUY,1,N/A,2025-07-31 20:40:46
2025-07-31 20:40:52,DELL,BUY,1,N/A,2025-07-31 20:40:52
2025-07-31 20:40:54,DAL,BUY,1,N/A,2025-07-31 20:40:54
2025-07-31 20:40:56,DVN,BUY,1,N/A,2025-07-31 20:40:56
2025-07-31 20:40:58,DXCM,BUY,1,N/A,2025-07-31 20:40:58
2025-07-31 20:41:00,FANG,BUY,1,N/A,2025-07-31 20:41:00
2025-07-31 20:41:01,DLR,BUY,1,N/A,2025-07-31 20:41:01
2025-07-31 20:41:03,DG,BUY,1,N/A,2025-07-31 20:41:03
2025-07-31 20:41:05,DLTR,BUY,1,N/A,2025-07-31 20:41:05
2025-07-31 20:41:07,D,BUY,1,N/A,2025-07-31 20:41:07
2025-07-31 20:41:09,DPZ,BUY,1,N/A,2025-07-31 20:41:09
2025-07-31 20:41:16,DOW,BUY,1,N/A,2025-07-31 20:41:16
2025-07-31 20:41:24,DD,BUY,1,N/A,2025-07-31 20:41:24
2025-07-31 20:41:25,EMN,BUY,1,N/A,2025-07-31 20:41:25
2025-07-31 20:41:27,ETN,BUY,1,N/A,2025-07-31 20:41:27
2025-07-31 20:41:35,EW,BUY,1,N/A,2025-07-31 20:41:35
2025-07-31 20:41:36,EA,BUY,1,N/A,2025-07-31 20:41:36
2025-07-31 20:41:38,ELV,BUY,1,N/A,2025-07-31 20:41:38
2025-07-31 20:41:41,EMR,BUY,1,N/A,2025-07-31 20:41:41
2025-07-31 20:41:42,ENPH,BUY,1,N/A,2025-07-31 20:41:42
2025-07-31 20:41:48,EOG,BUY,1,N/A,2025-07-31 20:41:48
2025-07-31 20:41:50,EPAM,BUY,1,N/A,2025-07-31 20:41:50
2025-07-31 20:41:56,EQIX,BUY,1,N/A,2025-07-31 20:41:56
2025-07-31 20:41:58,EQR,BUY,1,N/A,2025-07-31 20:41:58
2025-07-31 20:42:02,ESS,BUY,1,N/A,2025-07-31 20:42:02
2025-07-31 20:42:09,ES,BUY,1,N/A,2025-07-31 20:42:09
2025-07-31 20:42:13,EXE,BUY,1,N/A,2025-07-31 20:42:13
2025-07-31 20:42:19,EXR,BUY,1,N/A,2025-07-31 20:42:19
2025-07-31 20:42:25,FDS,BUY,1,N/A,2025-07-31 20:42:25
2025-07-31 20:42:27,FICO,BUY,1,N/A,2025-07-31 20:42:27
2025-07-31 20:42:29,FAST,BUY,1,N/A,2025-07-31 20:42:29
2025-07-31 20:42:31,FRT,BUY,1,N/A,2025-07-31 20:42:31
2025-07-31 20:42:39,FDX,BUY,1,N/A,2025-07-31 20:42:39
2025-07-31 20:42:40,FIS,BUY,1,N/A,2025-07-31 20:42:40
2025-07-31 20:42:44,FITB,BUY,1,N/A,2025-07-31 20:42:44
2025-07-31 20:42:46,FSLR,BUY,1,N/A,2025-07-31 20:42:46
2025-07-31 20:42:49,FI,BUY,1,N/A,2025-07-31 20:42:49
2025-07-31 20:42:53,FTNT,BUY,1,N/A,2025-07-31 20:42:53
2025-07-31 20:42:55,FTV,BUY,1,N/A,2025-07-31 20:42:55
2025-07-31 20:43:00,BEN,BUY,1,N/A,2025-07-31 20:43:00
2025-07-31 20:43:04,IT,BUY,1,N/A,2025-07-31 20:43:04
2025-07-31 20:43:06,GE,BUY,1,N/A,2025-07-31 20:43:06
2025-07-31 20:43:11,GEN,BUY,1,N/A,2025-07-31 20:43:11
2025-07-31 20:43:15,GD,BUY,1,N/A,2025-07-31 20:43:15
2025-07-31 20:43:17,GIS,BUY,1,N/A,2025-07-31 20:43:17
2025-07-31 20:43:20,GPC,BUY,1,N/A,2025-07-31 20:43:20
2025-07-31 20:43:22,GILD,BUY,1,N/A,2025-07-31 20:43:22
2025-07-31 20:43:24,GPN,BUY,1,N/A,2025-07-31 20:43:24
2025-07-31 20:43:26,GL,BUY,1,N/A,2025-07-31 20:43:26
2025-07-31 20:43:28,GDDY,BUY,1,N/A,2025-07-31 20:43:28
2025-07-31 20:43:30,GS,BUY,1,N/A,2025-07-31 20:43:30
2025-07-31 20:43:32,HAL,BUY,1,N/A,2025-07-31 20:43:32
2025-07-31 20:43:36,HAS,BUY,1,N/A,2025-07-31 20:43:36
2025-07-31 20:43:39,DOC,BUY,1,N/A,2025-07-31 20:43:39
2025-07-31 20:43:41,HSIC,BUY,1,N/A,2025-07-31 20:43:41
2025-07-31 20:43:43,HSY,BUY,1,N/A,2025-07-31 20:43:43
2025-07-31 20:43:45,HPE,BUY,1,N/A,2025-07-31 20:43:45
2025-07-31 20:43:47,HLT,BUY,1,N/A,2025-07-31 20:43:47
2025-07-31 20:43:51,HD,BUY,1,N/A,2025-07-31 20:43:51
2025-07-31 20:43:55,HRL,BUY,1,N/A,2025-07-31 20:43:55
2025-07-31 20:43:57,HST,BUY,1,N/A,2025-07-31 20:43:57
2025-07-31 20:43:59,HWM,BUY,1,N/A,2025-07-31 20:43:59
2025-07-31 20:44:01,HPQ,BUY,1,N/A,2025-07-31 20:44:01
2025-07-31 20:44:05,HUM,BUY,1,N/A,2025-07-31 20:44:05
2025-07-31 20:44:07,HBAN,BUY,1,N/A,2025-07-31 20:44:07
2025-07-31 20:44:11,IBM,BUY,1,N/A,2025-07-31 20:44:11
2025-07-31 20:44:14,IDXX,BUY,1,N/A,2025-07-31 20:44:14
2025-07-31 20:44:18,INCY,BUY,1,N/A,2025-07-31 20:44:18
2025-07-31 20:44:20,IR,BUY,1,N/A,2025-07-31 20:44:20
2025-07-31 20:44:21,PODD,BUY,1,N/A,2025-07-31 20:44:21
2025-07-31 20:44:23,INTC,BUY,1,N/A,2025-07-31 20:44:23
2025-07-31 20:44:27,IFF,BUY,1,N/A,2025-07-31 20:44:27
2025-07-31 20:44:29,IP,BUY,1,N/A,2025-07-31 20:44:29
2025-07-31 20:44:30,IPG,BUY,1,N/A,2025-07-31 20:44:30
2025-07-31 20:44:32,INTU,BUY,1,N/A,2025-07-31 20:44:32
2025-07-31 20:44:35,ISRG,BUY,1,N/A,2025-07-31 20:44:35
2025-07-31 20:44:37,IVZ,BUY,1,N/A,2025-07-31 20:44:37
2025-07-31 20:44:39,INVH,BUY,1,N/A,2025-07-31 20:44:39
2025-07-31 20:44:41,IQV,BUY,1,N/A,2025-07-31 20:44:41
2025-07-31 20:44:44,IRM,BUY,1,N/A,2025-07-31 20:44:44
2025-07-31 20:44:47,JBL,BUY,1,N/A,2025-07-31 20:44:47
2025-07-31 20:44:49,JKHY,BUY,1,N/A,2025-07-31 20:44:49
2025-07-31 20:44:53,JNJ,BUY,1,N/A,2025-07-31 20:44:53
2025-07-31 20:44:57,JPM,BUY,1,N/A,2025-07-31 20:44:57
2025-07-31 20:45:00,KVUE,BUY,1,N/A,2025-07-31 20:45:00
2025-07-31 20:45:02,KDP,BUY,1,N/A,2025-07-31 20:45:02
2025-07-31 20:45:04,KEY,BUY,1,N/A,2025-07-31 20:45:04
2025-07-31 20:45:06,KEYS,BUY,1,N/A,2025-07-31 20:45:06
2025-07-31 20:45:08,KMB,BUY,1,N/A,2025-07-31 20:45:08
2025-07-31 20:45:10,KIM,BUY,1,N/A,2025-07-31 20:45:10
2025-07-31 20:45:12,KMI,BUY,1,N/A,2025-07-31 20:45:12
2025-07-31 20:45:14,KKR,BUY,1,N/A,2025-07-31 20:45:14
2025-07-31 20:45:16,KLAC,BUY,1,N/A,2025-07-31 20:45:16
2025-07-31 20:45:18,KHC,BUY,1,N/A,2025-07-31 20:45:18
2025-07-31 20:45:24,LH,BUY,1,N/A,2025-07-31 20:45:24
2025-07-31 20:45:26,LRCX,BUY,1,N/A,2025-07-31 20:45:26
2025-07-31 20:45:28,LW,BUY,1,N/A,2025-07-31 20:45:28
2025-07-31 20:45:30,LVS,BUY,1,N/A,2025-07-31 20:45:30
2025-07-31 20:45:32,LDOS,BUY,1,N/A,2025-07-31 20:45:32
2025-07-31 20:45:37,LII,BUY,1,N/A,2025-07-31 20:45:37
2025-07-31 20:45:39,LLY,BUY,1,N/A,2025-07-31 20:45:39
2025-07-31 20:45:41,LIN,BUY,1,N/A,2025-07-31 20:45:41
2025-07-31 20:45:43,LYV,BUY,1,N/A,2025-07-31 20:45:43
2025-07-31 20:45:45,LKQ,BUY,1,N/A,2025-07-31 20:45:45
2025-07-31 20:45:51,LOW,BUY,1,N/A,2025-07-31 20:45:51
2025-07-31 20:45:53,LULU,BUY,1,N/A,2025-07-31 20:45:53
2025-07-31 20:45:55,LYB,BUY,1,N/A,2025-07-31 20:45:55
2025-07-31 20:45:57,MTB,BUY,1,N/A,2025-07-31 20:45:57
2025-07-31 20:46:00,MPC,BUY,1,N/A,2025-07-31 20:46:00
2025-07-31 20:46:02,MKTX,BUY,1,N/A,2025-07-31 20:46:02
2025-07-31 20:46:03,MAR,BUY,1,N/A,2025-07-31 20:46:03
2025-07-31 20:46:05,MMC,BUY,1,N/A,2025-07-31 20:46:05
2025-07-31 20:46:08,MLM,BUY,1,N/A,2025-07-31 20:46:08
2025-07-31 20:46:19,MKC,BUY,1,N/A,2025-07-31 20:46:19
2025-07-31 20:46:22,MCD,BUY,1,N/A,2025-07-31 20:46:22
2025-07-31 20:46:27,MCK,BUY,1,N/A,2025-07-31 20:46:27
2025-07-31 20:46:29,MDT,BUY,1,N/A,2025-07-31 20:46:29
2025-07-31 20:46:31,MRK,BUY,1,N/A,2025-07-31 20:46:31
2025-07-31 20:46:37,MTD,BUY,1,N/A,2025-07-31 20:46:37
2025-07-31 20:46:40,MGM,BUY,1,N/A,2025-07-31 20:46:40
2025-07-31 20:46:42,MCHP,BUY,1,N/A,2025-07-31 20:46:42
2025-07-31 20:46:44,MU,BUY,1,N/A,2025-07-31 20:46:44
2025-07-31 20:46:49,MAA,BUY,1,N/A,2025-07-31 20:46:49
2025-07-31 20:46:51,MRNA,BUY,1,N/A,2025-07-31 20:46:51
2025-07-31 20:46:54,MHK,BUY,1,N/A,2025-07-31 20:46:54
2025-07-31 20:46:58,TAP,BUY,1,N/A,2025-07-31 20:46:58
2025-07-31 20:47:01,MDLZ,BUY,1,N/A,2025-07-31 20:47:01
2025-07-31 20:47:02,MPWR,BUY,1,N/A,2025-07-31 20:47:02
2025-07-31 20:47:05,MNST,BUY,1,N/A,2025-07-31 20:47:05
2025-07-31 20:47:10,MS,BUY,1,N/A,2025-07-31 20:47:10
2025-07-31 20:47:12,MOS,BUY,1,N/A,2025-07-31 20:47:12
2025-07-31 20:47:25,NFLX,BUY,1,N/A,2025-07-31 20:47:25
2025-07-31 20:47:27,NEM,BUY,1,N/A,2025-07-31 20:47:27
2025-07-31 20:47:34,NWS,BUY,1,N/A,2025-07-31 20:47:34
2025-07-31 20:47:37,NEE,BUY,1,N/A,2025-07-31 20:47:37
2025-07-31 20:47:39,NKE,BUY,1,N/A,2025-07-31 20:47:39
2025-07-31 20:47:44,NI,BUY,1,N/A,2025-07-31 20:47:44
2025-07-31 20:47:51,NTRS,BUY,1,N/A,2025-07-31 20:47:51
2025-07-31 20:48:03,NVR,BUY,1,N/A,2025-07-31 20:48:03
2025-07-31 20:48:05,NXPI,BUY,1,N/A,2025-07-31 20:48:05
2025-07-31 20:48:12,OXY,BUY,1,N/A,2025-07-31 20:48:12
2025-07-31 20:48:17,OMC,BUY,1,N/A,2025-07-31 20:48:17
2025-07-31 20:48:25,OTIS,BUY,1,N/A,2025-07-31 20:48:25
2025-07-31 20:48:29,PKG,BUY,1,N/A,2025-07-31 20:48:29
2025-07-31 20:48:33,PARA,BUY,1,N/A,2025-07-31 20:48:33
2025-07-31 20:48:40,PAYC,BUY,1,N/A,2025-07-31 20:48:40
2025-07-31 20:48:45,PEP,BUY,1,N/A,2025-07-31 20:48:45
2025-07-31 20:48:47,PFE,BUY,1,N/A,2025-07-31 20:48:47
2025-07-31 20:48:49,PCG,BUY,1,N/A,2025-07-31 20:48:49
2025-07-31 20:48:54,PSX,BUY,1,N/A,2025-07-31 20:48:54
2025-07-31 20:48:58,PNC,BUY,1,N/A,2025-07-31 20:48:58
2025-07-31 20:49:00,POOL,BUY,1,N/A,2025-07-31 20:49:00
2025-07-31 20:49:06,PPL,BUY,1,N/A,2025-07-31 20:49:06
2025-07-31 20:49:10,PG,BUY,1,N/A,2025-07-31 20:49:10
2025-07-31 20:49:15,PLD,BUY,1,N/A,2025-07-31 20:49:15
2025-07-31 20:49:24,PSA,BUY,1,N/A,2025-07-31 20:49:24
2025-07-31 20:49:27,PHM,BUY,1,N/A,2025-07-31 20:49:27
2025-07-31 20:49:32,PWR,BUY,1,N/A,2025-07-31 20:49:32
2025-07-31 20:49:35,QCOM,BUY,1,N/A,2025-07-31 20:49:35
2025-07-31 20:49:44,RL,BUY,1,N/A,2025-07-31 20:49:44
2025-07-31 20:49:47,RJF,BUY,1,N/A,2025-07-31 20:49:47
2025-07-31 20:49:51,RTX,BUY,1,N/A,2025-07-31 20:49:51
2025-07-31 20:49:53,O,BUY,1,N/A,2025-07-31 20:49:53
2025-07-31 20:49:58,REG,BUY,1,N/A,2025-07-31 20:49:58
2025-07-31 20:50:00,REGN,BUY,1,N/A,2025-07-31 20:50:00
2025-07-31 20:50:02,RF,BUY,1,N/A,2025-07-31 20:50:02
2025-07-31 20:50:13,RMD,BUY,1,N/A,2025-07-31 20:50:13
2025-07-31 20:50:14,RVTY,BUY,1,N/A,2025-07-31 20:50:14
2025-07-31 20:50:20,ROL,BUY,1,N/A,2025-07-31 20:50:20
2025-07-31 20:50:25,ROST,BUY,1,N/A,2025-07-31 20:50:25
2025-07-31 20:50:27,RCL,BUY,1,N/A,2025-07-31 20:50:27
2025-07-31 20:50:31,CRM,BUY,1,N/A,2025-07-31 20:50:31
2025-07-31 20:50:34,SBAC,BUY,1,N/A,2025-07-31 20:50:34
2025-07-31 20:50:36,SLB,BUY,1,N/A,2025-07-31 20:50:36
2025-07-31 20:50:44,NOW,BUY,1,N/A,2025-07-31 20:50:44
2025-07-31 20:50:50,SPG,BUY,1,N/A,2025-07-31 20:50:50
2025-07-31 20:50:52,SWKS,BUY,1,N/A,2025-07-31 20:50:52
2025-07-31 20:50:57,SJM,BUY,1,N/A,2025-07-31 20:50:57
2025-07-31 20:50:59,SW,BUY,1,N/A,2025-07-31 20:50:59
2025-07-31 20:51:04,SOLV,BUY,1,N/A,2025-07-31 20:51:04
2025-07-31 20:51:06,SO,BUY,1,N/A,2025-07-31 20:51:06
2025-07-31 20:51:15,SBUX,BUY,1,N/A,2025-07-31 20:51:15
2025-07-31 20:51:17,STT,BUY,1,N/A,2025-07-31 20:51:17
2025-07-31 20:51:24,STE,BUY,1,N/A,2025-07-31 20:51:24
2025-07-31 20:51:26,SYK,BUY,1,N/A,2025-07-31 20:51:26
2025-07-31 20:51:29,SMCI,BUY,1,N/A,2025-07-31 20:51:29
2025-07-31 20:51:31,SYF,BUY,1,N/A,2025-07-31 20:51:31
2025-07-31 20:51:33,SNPS,BUY,1,N/A,2025-07-31 20:51:33
2025-07-31 20:51:36,SYY,BUY,1,N/A,2025-07-31 20:51:36
2025-07-31 20:51:39,TMUS,BUY,1,N/A,2025-07-31 20:51:39
2025-07-31 20:51:42,TROW,BUY,1,N/A,2025-07-31 20:51:42
2025-07-31 20:51:48,TTWO,BUY,1,N/A,2025-07-31 20:51:48
2025-07-31 20:51:50,TPR,BUY,1,N/A,2025-07-31 20:51:50
2025-07-31 20:51:52,TRGP,BUY,1,N/A,2025-07-31 20:51:52
2025-07-31 20:51:54,TGT,BUY,1,N/A,2025-07-31 20:51:54
2025-07-31 20:52:02,TSLA,BUY,1,N/A,2025-07-31 20:52:02
2025-07-31 20:52:04,TXN,BUY,1,N/A,2025-07-31 20:52:04
2025-07-31 20:52:07,TPL,BUY,1,N/A,2025-07-31 20:52:07
2025-07-31 20:52:11,TMO,BUY,1,N/A,2025-07-31 20:52:11
2025-07-31 20:52:14,TJX,BUY,1,N/A,2025-07-31 20:52:14
2025-07-31 20:52:22,TSCO,BUY,1,N/A,2025-07-31 20:52:22
2025-07-31 20:52:30,TDG,BUY,1,N/A,2025-07-31 20:52:30
2025-07-31 20:52:34,TRMB,BUY,1,N/A,2025-07-31 20:52:34
2025-07-31 20:52:36,TFC,BUY,1,N/A,2025-07-31 20:52:36
2025-07-31 20:52:42,TSN,BUY,1,N/A,2025-07-31 20:52:42
2025-07-31 20:52:44,USB,BUY,1,N/A,2025-07-31 20:52:44
2025-07-31 20:52:50,UDR,BUY,1,N/A,2025-07-31 20:52:50
2025-07-31 20:52:52,ULTA,BUY,1,N/A,2025-07-31 20:52:52
2025-07-31 20:52:55,UNP,BUY,1,N/A,2025-07-31 20:52:55
2025-07-31 20:52:57,UAL,BUY,1,N/A,2025-07-31 20:52:57
2025-07-31 20:52:59,UPS,BUY,1,N/A,2025-07-31 20:52:59
2025-07-31 20:53:03,UNH,BUY,1,N/A,2025-07-31 20:53:03
2025-07-31 20:53:08,VLO,BUY,1,N/A,2025-07-31 20:53:08
2025-07-31 20:53:13,VLTO,BUY,1,N/A,2025-07-31 20:53:13
2025-07-31 20:53:22,VRTX,BUY,1,N/A,2025-07-31 20:53:22
2025-07-31 20:53:24,VTRS,BUY,1,N/A,2025-07-31 20:53:24
2025-07-31 20:53:31,V,BUY,1,N/A,2025-07-31 20:53:31
2025-07-31 20:53:49,DIS,BUY,1,N/A,2025-07-31 20:53:49
2025-07-31 20:53:50,WBD,BUY,1,N/A,2025-07-31 20:53:50
2025-07-31 20:53:53,WM,BUY,1,N/A,2025-07-31 20:53:53
2025-07-31 20:53:56,WAT,BUY,1,N/A,2025-07-31 20:53:56
2025-07-31 20:54:00,WFC,BUY,1,N/A,2025-07-31 20:54:00
2025-07-31 20:54:02,WELL,BUY,1,N/A,2025-07-31 20:54:02
2025-07-31 20:54:04,WST,BUY,1,N/A,2025-07-31 20:54:04
2025-07-31 20:54:11,WY,BUY,1,N/A,2025-07-31 20:54:11
2025-07-31 20:54:13,WSM,BUY,1,N/A,2025-07-31 20:54:13
2025-07-31 20:54:21,WDAY,BUY,1,N/A,2025-07-31 20:54:21
2025-07-31 20:54:23,WYNN,BUY,1,N/A,2025-07-31 20:54:23
2025-07-31 20:54:31,YUM,BUY,1,N/A,2025-07-31 20:54:31
2025-07-31 20:54:37,ZBH,BUY,1,N/A,2025-07-31 20:54:37
2025-07-31 20:54:39,ZTS,BUY,1,N/A,2025-07-31 20:54:39
